# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  4 12:26:40 2025
#
# User preference: *
#
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
#
koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec
CONFIRMED,9.488035570,2.7750000e-05,-2.7750000e-05,2.26,2.600e-01,-1.500e-01,793.0,,,93.59,29.45,-16.65,5455.00,81.00,-81.00,4.467,0.064,-0.096,0.9270,0.1050,-0.0610,291.934230,48.141651
CONFIRMED,54.418382700,2.4790000e-04,-2.4790000e-04,2.83,3.200e-01,-1.900e-01,443.0,,,9.11,2.87,-1.62,5455.00,81.00,-81.00,4.467,0.064,-0.096,0.9270,0.1050,-0.0610,291.934230,48.141651
CANDIDATE,19.899139950,1.4940000e-05,-1.4940000e-05,14.60,3.920e+00,-1.310e+00,638.0,,,39.30,31.04,-10.49,5853.00,158.00,-176.00,4.544,0.044,-0.176,0.8680,0.2330,-0.0780,297.004820,48.134129
FALSE POSITIVE,1.736952453,2.6300000e-07,-2.6300000e-07,33.46,8.500e+00,-2.830e+00,1395.0,,,891.96,668.95,-230.35,5805.00,157.00,-174.00,4.564,0.053,-0.168,0.7910,0.2010,-0.0670,285.534610,48.285210
CONFIRMED,2.525591777,3.7610000e-06,-3.7610000e-06,2.75,8.800e-01,-3.500e-01,1406.0,,,926.16,874.33,-314.24,6031.00,169.00,-211.00,4.438,0.070,-0.210,1.0460,0.3340,-0.1330,288.754880,48.226200
CONFIRMED,11.094320540,2.0360000e-05,-2.0360000e-05,3.90,1.270e+00,-4.200e-01,835.0,,,114.81,112.85,-36.70,6046.00,189.00,-232.00,4.486,0.054,-0.229,0.9720,0.3150,-0.1050,296.286130,48.224670
CONFIRMED,4.134435120,1.0460000e-05,-1.0460000e-05,2.77,9.000e-01,-3.000e-01,1160.0,,,427.65,420.33,-136.70,6046.00,189.00,-232.00,4.486,0.054,-0.229,0.9720,0.3150,-0.1050,296.286130,48.224670
CONFIRMED,2.566588970,1.7810000e-05,-1.7810000e-05,1.59,5.200e-01,-1.700e-01,1360.0,,,807.74,793.91,-258.20,6046.00,189.00,-232.00,4.486,0.054,-0.229,0.9720,0.3150,-0.1050,296.286130,48.224670
FALSE POSITIVE,7.361789580,2.1280000e-05,-2.1280000e-05,39.21,6.450e+00,-9.670e+00,1342.0,,,767.22,349.28,-365.49,6227.00,111.00,-124.00,3.986,0.182,-0.098,1.9580,0.3220,-0.4830,298.864350,42.151569
CONFIRMED,16.068646740,1.0880000e-05,-1.0880000e-05,5.76,2.200e-01,-4.900e-01,600.0,,,30.75,4.46,-6.66,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.8480,0.0330,-0.0720,286.999480,48.375790
